,Chi-Square Statistic,P-Value,Dependent
Age,3022.0179596227727,0.38508225654038825,True
Gender,92.94465494772709,0.6785626239734568,True
EducationLevel,292.561099967699,0.6098627659680956,True
ExperienceYears,1529.9607153344002,0.28925682648809703,True
PreviousCompanies,423.72183802357756,0.19874183829015069,True
DistanceFromCompany,149999.99999999997,0.4270804798268731,True
SkillScore,10178.596935889433,0.10380991145106996,True
PersonalityScore,10291.49546525007,0.020368683696194014,False
RecruitmentStrategy,199.82199099207048,0.49025054286808994,True
HiringDecision,174.73272626028205,5.5407039085284795e-06,False
