,Chi-Square Statistic,P-Value,Dependent
Age,2909.50061269595,0.8793357923561546,True
Gender,70.15839099642511,0.9897738687250075,True
EducationLevel,314.5104703005594,0.2708612894969292,True
ExperienceYears,1573.4187996839264,0.09154595498546059,True
PreviousCompanies,433.1669343614923,0.12198627500775357,True
DistanceFromCompany,149999.99999999997,0.4270804798268731,True
InterviewScore,10291.49546525007,0.020368683696194014,False
SkillScore,10114.348627918598,0.20890832641895937,True
RecruitmentStrategy,222.85170035012987,0.12823130877515637,True
HiringDecision,172.58721670311746,8.970260217046018e-06,False
